credit,summe_einnahmen,summe_ausgaben,frei_verfuegbares_einkommen,verhaeltnis_einkommen_zu_rate,laufzeit,kreditbetrag,score_wert,schufa_score,anzahl_kinder,anzahl_personen,anzahl_kfz,beschaeftigungs_art,anrede,familienstand,wohnsituation,einkommen_unselbstaendig,rente,ein_unterhalt,kindergeld,ein_miete,sonstiges,aus_miete,wohnnebenkosten,aus_unterhalt,kranken_pflege_versicherung,lebensversicherung,baufinanzierung,bausparen,beschaeftigt_seit,alter,wohnhaft
ABGELEHNT,1069.0,1623.26388888889,-554.0,0.65,60,4990.0,268,9657,1,3,0,ANGESTELLTER,HERR,VERHEIRATET,MIETE,1068.0,0.0,0.0,1.0,0.0,,570.0,,0.0,,0.0,0.0,0.0,2006-07-01 00:00:00,49.0,6.0
ABGELEHNT,2988.0,3192.1910430839002,-204.0,0.7,24,5000.0,175,9712,2,3,1,BEAMTER,HERR,LEDIG,MIETE,2600.0,,,388.0,,,720.0,,,280.0,,,,2010-10-01 00:00:00,41.0,7.0
ABGELEHNT,2088.0,1900.0,188.0,0.6,72,7000.0,26,9830,2,4,0,ANGESTELLTER,FRAU,VERHEIRATET,MIETE,1700.0,0.0,0.0,2.0,0.0,,650.0,,0.0,,0.0,0.0,0.0,2005-01-01 00:00:00,33.0,11.0
ABGELEHNT,2055.0,1873.75,181.0,0.6,72,7000.0,254,9946,0,1,1,ANGESTELLTER,HERR,GESCHIEDEN,MIETE,2055.0,0.0,0.0,0.0,0.0,,478.0,,0.0,,197.0,0.0,0.0,2006-02-01 00:00:00,50.0,6.0
ABGELEHNT,1688.0,1337.5927230047,350.0,0.6,84,10000.0,286,9673,2,4,0,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,1300.0,0.0,0.0,384.0,0.0,,,0.0,0.0,,0.0,300.0,0.0,2002-01-01 00:00:00,38.0,11.0
ABGELEHNT,3000.0,2573.18714689266,426.0,0.65,60,15000.0,412,9718,0,2,1,ARBEITER,HERR,VERHEIRATET,MIETE,3000.0,0.0,0.0,0.0,0.0,,750.0,,0.0,,0.0,0.0,0.0,1998-06-01 00:00:00,58.0,3.0
ABGELEHNT,4173.0,2675.0,1498.0,0.65,48,10000.0,107,9936,2,4,1,ANGESTELLTER,FRAU,VERHEIRATET,MIETE,3785.0,0.0,0.0,384.0,0.0,,975.0,,0.0,,0.0,0.0,130.0,2015-08-01 00:00:00,46.0,8.0
ABGELEHNT,1400.0,1007.0,393.0,0.65,48,6500.0,-8,9712,0,1,1,ANGESTELLTER,HERR,LEDIG,MIETE,1400.0,0.0,0.0,0.0,0.0,,357.0,,0.0,,0.0,0.0,0.0,2015-01-01 00:00:00,35.0,6.0
ABGELEHNT,4000.0,1416.66666666667,2583.0,0.65,60,20000.0,430,9913,0,2,1,ANGESTELLTER,HERR,VERHEIRATET,EIGENTUM,4000.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,2017-02-01 00:00:00,58.0,13.0
ABGELEHNT,2188.0,1589.0,599.0,0.6,84,10000.0,2,9811,2,4,0,ANGESTELLTER,HERR,VERHEIRATET,MIETE,1800.0,0.0,0.0,384.0,0.0,,339.0,,0.0,,0.0,0.0,0.0,2016-05-01 00:00:00,32.0,13.0
